skills,role
"Python, Machine Learning, Statistics, Pandas, Scikit-learn, SQL",Data Scientist
"Java, C++, Data Structures, Algorithms, Git, System Design",Software Engineer
"HTML, CSS, JavaScript, React, Node.js, MongoDB",Web Developer
"Linux, Docker, Kubernetes, Jenkins, AWS, CI/CD",DevOps Engineer
"Flutter, Dart, Java, Kotlin, Swift, Firebase",Mobile App Developer
"AWS, Azure, GCP, Cloud Security, DevOps, Terraform",Cloud Architect
"Network Security, Penetration Testing, Python, SIEM, Firewalls, Cryptography",Cybersecurity Analyst
"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision",AI/ML Engineer
"Excel, SQL, Tableau, Business Intelligence, Data Analysis, Communication",Business Analyst
"Linux, Windows Server, Networking, Bash, PowerShell, Troubleshooting",System Administrator
"Figma, Adobe XD, Wireframing, User Research, Prototyping, HTML/CSS",UI/UX Designer
"Agile, Scrum, Roadmapping, Stakeholder Management, Market Research, JIRA",Product Manager
"SQL, Oracle, MySQL, Backup & Recovery, Performance Tuning, DB Security",Database Administrator
"Documentation, Markdown, XML, Communication, Research, Git",Technical Writer
"Unity, C#, Game Physics, 3D Modeling, Blender, Unreal Engine",Game Developer
